locationNumber,name,yiddishName,region
49093,Schwäbisch Hall,,"W - Austria, Czechoslovakia, Germany, Holland"
49095,Walldürn,,"W - Austria, Czechoslovakia, Germany, Holland"
49096,Niederstetten,,"W - Austria, Czechoslovakia, Germany, Holland"
49099,Oberaltertheim,,"W - Austria, Czechoslovakia, Germany, Holland"
49103,Markt Berolzheim,,"W - Austria, Czechoslovakia, Germany, Holland"
49105,Windsheim,,"W - Austria, Czechoslovakia, Germany, Holland"
49114,Nürnberg,,"W - Austria, Czechoslovakia, Germany, Holland"
49117,Schesslitz,,"W - Austria, Czechoslovakia, Germany, Holland"
49121,Regensburg,,"W - Austria, Czechoslovakia, Germany, Holland"
49122,Cham,,"W - Austria, Czechoslovakia, Germany, Holland"
49128,Tachov,,"W - Austria, Czechoslovakia, Germany, Holland"
49146,Nové Vši,,"W - Austria, Czechoslovakia, Germany, Holland"
49154,Humpoletz,,"W - Austria, Czechoslovakia, Germany, Holland"
49162,Brno (Brünn),,"W - Austria, Czechoslovakia, Germany, Holland"
49172,Uherské Hradiště (Ungarisch Hradisch),,"W - Austria, Czechoslovakia, Germany, Holland"
49175,Holešov,,"W - Austria, Czechoslovakia, Germany, Holland"
49179,Tropava (Troppau),,"W - Austria, Czechoslovakia, Germany, Holland"
49188,Těšin,,"W - Austria, Czechoslovakia, Germany, Holland"
49200,Lutowiska,Lítəvisk ,G - Eastern Galicia
49204,Bukowina,Bukovíni,H - Western Galicia
49205,Nowy Sącz,Canc,H - Western Galicia
49212,Kurima,Kírəmə,T - Transcarpathia
49216,Rymanów,Rímənəf,H - Western Galicia
49217,Ryglice,Riglíc,H - Western Galicia
49220,Szczawne,Ščávni,H - Western Galicia
49221,Cisna,Čísnə,H - Western Galicia
49224,Ulucz,Ilíč,G - Eastern Galicia
49225,Ustrzyki Dolne,Ístrik,G - Eastern Galicia
49227,Błażowa,Blúžif,H - Western Galicia
49229,Przemyśl,Préməslə/Pšémiš,G - Eastern Galicia
49230,Mościska,Moščísk,G - Eastern Galicia
49231,Rybnik,Ríbnik,G - Eastern Galicia
49233,Bolechów,Bóləxəf,G - Eastern Galicia
49235,Drohobycz,Drúbič,G - Eastern Galicia
49237,Jaworów,Jávərif,G - Eastern Galicia
49242,Kałusz,Káliš,G - Eastern Galicia
49243,Bołszowce,Bólšəvic,G - Eastern Galicia
49245,Strzeliska Nowe,Strelsk,G - Eastern Galicia
49246,Rohatyn,Retín,G - Eastern Galicia
49247,Lwów (Lemberg),Lémbərik,G - Eastern Galicia
49248,Przemyślany,Prəmišlán,G - Eastern Galicia
49251,Podhajce,Pidájic,G - Eastern Galicia
49253,Chorostków,Xróskif,G - Eastern Galicia
49254,Wibudów,Víbədəf,G - Eastern Galicia
